line,code,ebt_ef,ebt_nf,ebt_ep,ebt_np,ebt_suspiciousness,pbt_ef,pbt_nf,pbt_ep,pbt_np,pbt_suspiciousness
2,"""""""prepare→_coerce_interval→Intrvalクラス""""""",0,0,0,11,0.000000,0,0,0,6,0.000000
9,"from collections.abc import Iterable, Sequence",0,0,0,11,0.000000,0,0,0,6,0.000000
10,from dataclasses import dataclass,0,0,0,11,0.000000,0,0,0,6,0.000000
13,import math,0,0,0,11,0.000000,0,0,0,6,0.000000
16,Number = int | float,0,0,0,11,0.000000,0,0,0,6,0.000000
26,"@dataclass(frozen=True, order=True)",0,0,0,11,0.000000,0,0,0,6,0.000000
27,class Interval:,0,0,0,11,0.000000,0,0,0,6,0.000000
30,start: Number,0,0,0,11,0.000000,0,0,0,6,0.000000
31,end: Number,0,0,0,11,0.000000,0,0,0,6,0.000000
34,"def as_tuple(self) -> tuple[Number, Number]:",0,0,0,11,0.000000,0,0,0,6,0.000000
36,"return (self.start, self.end)",0,0,6,5,0.000000,0,0,6,0,0.000000
39,def _is_number(value: object) -> bool:,0,0,0,11,0.000000,0,0,0,6,0.000000
41,"return isinstance(value, (int, float)) and not isinstance(value, bool)",0,0,9,2,0.000000,0,0,6,0,0.000000
45,"""""""1件の入力を検証し、Intervalへ変換する。""""""",0,0,0,11,0.000000,0,0,0,6,0.000000
46,"def _coerce_interval(raw: object, index: int) -> Interval:",0,0,0,11,0.000000,0,0,0,6,0.000000
47,"if isinstance(raw, Interval):#すでにインターバル型のとき(ex)入力値:Interval(1,3)",0,0,10,1,0.000000,0,0,6,0,0.000000
48,start = raw.start,0,0,0,11,0.000000,0,0,0,6,0.000000
49,end = raw.end,0,0,0,11,0.000000,0,0,0,6,0.000000
51,"if not isinstance(raw, Sequence) or isinstance(raw, (str, bytes)):",0,0,10,1,0.000000,0,0,6,0,0.000000
52,"raise TypeError(f""intervals[{index}]は2要素の配列で指定してください"")",0,0,0,11,0.000000,0,0,0,6,0.000000
54,if len(raw) != 2:,0,0,10,1,0.000000,0,0,6,0,0.000000
55,"raise ValueError(f""intervals[{index}]は始点と終点の2要素が必要です"")",0,0,1,10,0.000000,0,0,0,6,0.000000
57,start = raw[0],0,0,9,2,0.000000,0,0,6,0,0.000000
58,end = raw[1],0,0,9,2,0.000000,0,0,6,0,0.000000
60,if not _is_number(start) or not _is_number(end):,0,0,9,2,0.000000,0,0,6,0,0.000000
61,"raise TypeError(f""intervals[{index}]の始点と終点は数値で指定してください"")",0,0,1,10,0.000000,0,0,0,6,0.000000
63,if not math.isfinite(start) or not math.isfinite(end):,0,0,8,3,0.000000,0,0,6,0,0.000000
64,"raise ValueError(f""intervals[{index}]に無限大やNaNは使用できません"")",0,0,1,10,0.000000,0,0,0,6,0.000000
66,if start > end:,0,0,7,4,0.000000,0,0,6,0,0.000000
67,"raise ValueError(f""intervals[{index}]の始点は終点以下である必要があります"")",0,0,1,10,0.000000,0,0,0,6,0.000000
69,"return Interval(start, end)",0,0,6,5,0.000000,0,0,6,0,0.000000
71,"""""""全区間を検証し、始点、終点の順に並べる。""""""",0,0,0,11,0.000000,0,0,0,6,0.000000
73,def _prepare_intervals(intervals: Iterable[object]) -> list[Interval]:,0,0,0,11,0.000000,0,0,0,6,0.000000
75,"if isinstance(intervals, (str, bytes)):",0,0,11,0,0.000000,0,0,6,0,0.000000
76,"raise TypeError(""intervalsには区間の反復可能オブジェクトを指定してください"")",0,0,0,11,0.000000,0,0,0,6,0.000000
78,"try:#関数への入力値intervals: Iterable[object]の中身を一つずつ取り出して,_coerce_intervalへと渡す",0,0,11,0,0.000000,0,0,6,0,0.000000
79,"prepared = [_coerce_interval(raw, index) for index, raw in enumerate(intervals)]",0,0,11,0,0.000000,0,0,6,0,0.000000
80,except TypeError:,0,0,4,7,0.000000,0,0,0,6,0.000000
81,raise,0,0,1,10,0.000000,0,0,0,6,0.000000
83,"prepared.sort(key=lambda interval: (interval.start, interval.end))",0,0,7,4,0.000000,0,0,6,0,0.000000
84,return prepared,0,0,7,4,0.000000,0,0,6,0,0.000000
86,"""""""重なる区間を統合し、始点順のタプルとして返す。",0,0,0,11,0.000000,0,0,0,6,0.000000
91,def merge_intervals(,0,0,0,11,0.000000,0,0,0,6,0.000000
97,prepared = _prepare_intervals(intervals),0,0,11,0,0.000000,0,0,6,0,0.000000
99,if not prepared:#入力された区間がないとき、空リストを返す,0,0,7,4,0.000000,0,0,6,0,0.000000
100,return [],0,0,1,10,0.000000,0,0,4,2,0.000000
105,merged: list[Interval] = [prepared[0]],0,0,6,5,0.000000,0,0,6,0,0.000000
108,for current in prepared[1:]:#2番目以降を順にみていく,0,0,6,5,0.000000,0,0,6,0,0.000000
109,last = merged[-1]#直前の区間,0,0,5,6,0.000000,0,0,6,0,0.000000
112,if merge_touching:#統合条件に端が接しているかどうかを考える,0,0,5,6,0.000000,0,0,6,0,0.000000
113,overlaps = current.start <= last.end,0,0,4,7,0.000000,0,0,6,0,0.000000
115,overlaps = current.start < last.end,0,0,1,10,0.000000,0,0,0,6,0.000000
117,if not overlaps:,0,0,5,6,0.000000,0,0,6,0,0.000000
119,merged.append(current),0,0,3,8,0.000000,0,0,5,1,0.000000
120,elif current.end <= last.end:,0,0,3,8,0.000000,0,0,6,0,0.000000
122,continue,0,0,1,10,0.000000,0,0,6,0,0.000000
124,"merged[-1] = Interval(last.start, current.end)",0,0,2,9,0.000000,0,0,6,0,0.000000
126,return [interval.as_tuple() for interval in merged],0,0,6,5,0.000000,0,0,6,0,0.000000
