rank,line,code,ef,nf,ep,np,suspiciousness
27,2,"""""""prepare→_coerce_interval→Intrvalクラス""""""",0,1,0,10,0.000000
27,9,"from collections.abc import Iterable, Sequence",0,1,0,10,0.000000
27,10,from dataclasses import dataclass,0,1,0,10,0.000000
27,13,import math,0,1,0,10,0.000000
27,16,Number = int | float,0,1,0,10,0.000000
27,26,"@dataclass(frozen=True, order=True)",0,1,0,10,0.000000
27,27,class Interval:,0,1,0,10,0.000000
27,30,start: Number,0,1,0,10,0.000000
27,31,end: Number,0,1,0,10,0.000000
27,34,"def as_tuple(self) -> tuple[Number, Number]:",0,1,0,10,0.000000
6,36,"return (self.start, self.end)",1,0,5,5,0.408248
27,39,def _is_number(value: object) -> bool:,0,1,0,10,0.000000
16,41,"return isinstance(value, (int, float)) and not isinstance(value, bool)",1,0,8,2,0.333333
27,45,"""""""1件の入力を検証し、Intervalへ変換する。""""""",0,1,0,10,0.000000
27,46,"def _coerce_interval(raw: object, index: int) -> Interval:",0,1,0,10,0.000000
20,47,"if isinstance(raw, Interval):#すでにインターバル型のとき(ex)入力値:Interval(1,3)",1,0,9,1,0.316228
27,48,start = raw.start,0,1,0,10,0.000000
27,49,end = raw.end,0,1,0,10,0.000000
20,51,"if not isinstance(raw, Sequence) or isinstance(raw, (str, bytes)):",1,0,9,1,0.316228
27,52,"raise TypeError(f""intervals[{index}]は2要素の配列で指定してください"")",0,1,0,10,0.000000
20,54,if len(raw) != 2:,1,0,9,1,0.316228
27,55,"raise ValueError(f""intervals[{index}]は始点と終点の2要素が必要です"")",0,1,1,9,0.000000
16,57,start = raw[0],1,0,8,2,0.333333
16,58,end = raw[1],1,0,8,2,0.333333
16,60,if not _is_number(start) or not _is_number(end):,1,0,8,2,0.333333
27,61,"raise TypeError(f""intervals[{index}]の始点と終点は数値で指定してください"")",0,1,1,9,0.000000
15,63,if not math.isfinite(start) or not math.isfinite(end):,1,0,7,3,0.353553
27,64,"raise ValueError(f""intervals[{index}]に無限大やNaNは使用できません"")",0,1,1,9,0.000000
11,66,if start > end:,1,0,6,4,0.377964
27,67,"raise ValueError(f""intervals[{index}]の始点は終点以下である必要があります"")",0,1,1,9,0.000000
6,69,"return Interval(start, end)",1,0,5,5,0.408248
27,71,"""""""全区間を検証し、始点、終点の順に並べる。""""""",0,1,0,10,0.000000
27,73,def _prepare_intervals(intervals: Iterable[object]) -> list[Interval]:,0,1,0,10,0.000000
23,75,"if isinstance(intervals, (str, bytes)):",1,0,10,0,0.301511
27,76,"raise TypeError(""intervalsには区間の反復可能オブジェクトを指定してください"")",0,1,0,10,0.000000
23,78,"try:#関数への入力値intervals: Iterable[object]の中身を一つずつ取り出して,_coerce_intervalへと渡す",1,0,10,0,0.301511
23,79,"prepared = [_coerce_interval(raw, index) for index, raw in enumerate(intervals)]",1,0,10,0,0.301511
27,80,except TypeError:,0,1,4,6,0.000000
27,81,raise,0,1,1,9,0.000000
11,83,"prepared.sort(key=lambda interval: (interval.start, interval.end))",1,0,6,4,0.377964
11,84,return prepared,1,0,6,4,0.377964
27,86,"""""""重なる区間を統合し、始点順のタプルとして返す。",0,1,0,10,0.000000
27,91,def merge_intervals(,0,1,0,10,0.000000
23,98,prepared = _prepare_intervals(intervals),1,0,10,0,0.301511
11,100,if not prepared:#入力された区間がないとき、空リストを返す,1,0,6,4,0.377964
27,101,return [],0,1,1,9,0.000000
6,106,merged: list[Interval] = [prepared[0]],1,0,5,5,0.408248
6,109,for current in prepared[1:]:#2番目以降を順にみていく,1,0,5,5,0.408248
3,110,last = merged[-1]#直前の区間,1,0,4,6,0.447214
3,113,if merge_touching:#統合条件に端が接しているかどうかを考える,1,0,4,6,0.447214
1,114,overlaps = current.start < last.end  # ミュータント（<= を < に変更）,1,0,3,7,0.500000
27,116,overlaps = current.start < last.end,0,1,1,9,0.000000
3,118,if not overlaps:,1,0,4,6,0.447214
1,120,merged.append(current),1,0,3,7,0.500000
27,121,elif current.end <= last.end:,0,1,2,8,0.000000
27,123,continue,0,1,1,9,0.000000
27,125,"merged[-1] = Interval(last.start, current.end)",0,1,1,9,0.000000
6,127,return [interval.as_tuple() for interval in merged],1,0,5,5,0.408248
