line,code,ebt_ef,ebt_nf,ebt_ep,ebt_np,ebt_suspiciousness,pbt_ef,pbt_nf,pbt_ep,pbt_np,pbt_suspiciousness
2,"""""""prepare→_coerce_interval→Intrvalクラス""""""",0,1,0,10,0.000000,0,3,0,3,0.000000
9,"from collections.abc import Iterable, Sequence",0,1,0,10,0.000000,0,3,0,3,0.000000
10,from dataclasses import dataclass,0,1,0,10,0.000000,0,3,0,3,0.000000
13,import math,0,1,0,10,0.000000,0,3,0,3,0.000000
16,Number = int | float,0,1,0,10,0.000000,0,3,0,3,0.000000
26,"@dataclass(frozen=True, order=True)",0,1,0,10,0.000000,0,3,0,3,0.000000
27,class Interval:,0,1,0,10,0.000000,0,3,0,3,0.000000
30,start: Number,0,1,0,10,0.000000,0,3,0,3,0.000000
31,end: Number,0,1,0,10,0.000000,0,3,0,3,0.000000
34,"def as_tuple(self) -> tuple[Number, Number]:",0,1,0,10,0.000000,0,3,0,3,0.000000
36,"return (self.start, self.end)",1,0,5,5,0.408248,3,0,3,0,0.707107
39,def _is_number(value: object) -> bool:,0,1,0,10,0.000000,0,3,0,3,0.000000
41,"return isinstance(value, (int, float)) and not isinstance(value, bool)",1,0,8,2,0.333333,3,0,3,0,0.707107
45,"""""""1件の入力を検証し、Intervalへ変換する。""""""",0,1,0,10,0.000000,0,3,0,3,0.000000
46,"def _coerce_interval(raw: object, index: int) -> Interval:",0,1,0,10,0.000000,0,3,0,3,0.000000
47,"if isinstance(raw, Interval):#すでにインターバル型のとき(ex)入力値:Interval(1,3)",1,0,9,1,0.316228,3,0,3,0,0.707107
48,start = raw.start,0,1,0,10,0.000000,0,3,0,3,0.000000
49,end = raw.end,0,1,0,10,0.000000,0,3,0,3,0.000000
51,"if not isinstance(raw, Sequence) or isinstance(raw, (str, bytes)):",1,0,9,1,0.316228,3,0,3,0,0.707107
52,"raise TypeError(f""intervals[{index}]は2要素の配列で指定してください"")",0,1,0,10,0.000000,0,3,0,3,0.000000
54,if len(raw) != 2:,1,0,9,1,0.316228,3,0,3,0,0.707107
55,"raise ValueError(f""intervals[{index}]は始点と終点の2要素が必要です"")",0,1,1,9,0.000000,0,3,0,3,0.000000
57,start = raw[0],1,0,8,2,0.333333,3,0,3,0,0.707107
58,end = raw[1],1,0,8,2,0.333333,3,0,3,0,0.707107
60,if not _is_number(start) or not _is_number(end):,1,0,8,2,0.333333,3,0,3,0,0.707107
61,"raise TypeError(f""intervals[{index}]の始点と終点は数値で指定してください"")",0,1,1,9,0.000000,0,3,0,3,0.000000
63,if not math.isfinite(start) or not math.isfinite(end):,1,0,7,3,0.353553,3,0,3,0,0.707107
64,"raise ValueError(f""intervals[{index}]に無限大やNaNは使用できません"")",0,1,1,9,0.000000,0,3,0,3,0.000000
66,if start > end:,1,0,6,4,0.377964,3,0,3,0,0.707107
67,"raise ValueError(f""intervals[{index}]の始点は終点以下である必要があります"")",0,1,1,9,0.000000,0,3,0,3,0.000000
69,"return Interval(start, end)",1,0,5,5,0.408248,3,0,3,0,0.707107
71,"""""""全区間を検証し、始点、終点の順に並べる。""""""",0,1,0,10,0.000000,0,3,0,3,0.000000
